b'id',b'key',b'value',b'type'
b'165096304',b'operator',b'Transit Authority of River City',b'regular'
b'165096304',b'public_transport',b'stop_position',b'regular'
b'165096304',b'tactile_paving',b'no',b'regular'
b'165137973',b'bus',b'yes',b'regular'
b'165137973',b'highway',b'bus_stop',b'regular'
b'165137973',b'name',b'Magnolia / Levering',b'regular'
b'165137973',b'network',b'Transit Authority of River City',b'regular'
b'165137973',b'operator',b'Transit Authority of River City',b'regular'
b'165137973',b'public_transport',b'stop_position',b'regular'
b'165173213',b'railway',b'level_crossing',b'regular'
b'165205761',b'bus',b'yes',b'regular'
b'165205761',b'highway',b'bus_stop',b'regular'
b'165205761',b'name',b'1st / Oak',b'regular'
b'165205761',b'network',b'Transit Authority of River City',b'regular'
b'165205761',b'operator',b'Transit Authority of River City',b'regular'
b'165205761',b'public_transport',b'stop_position',b'regular'
b'165205761',b'tactile_paving',b'no',b'regular'
b'358608847',b'amenity',b'school',b'regular'
b'358608847',b'ele',b'140',b'regular'
b'358608847',b'county_id',b'111',b'gnis'
b'358608847',b'created',b'09/20/1979',b'gnis'
b'358608847',b'feature_id',b'505289',b'gnis'
b'358608847',b'state_id',b'21',b'gnis'
b'358608847',b'name',b'Tingley School',b'regular'
b'358621211',b'amenity',b'place_of_worship',b'regular'
b'358621211',b'denomination',b'methodist',b'regular'
b'358621211',b'ele',b'143',b'regular'
b'358621211',b'county_id',b'111',b'gnis'
b'358621211',b'created',b'06/26/2008',b'gnis'
b'358621211',b'feature_id',b'2460014',b'gnis'
b'358621211',b'state_id',b'21',b'gnis'
b'358621211',b'name',b'Miles Memorial Christian Methodist Episcopal Church',b'regular'
b'358621211',b'religion',b'christian',b'regular'
b'358621260',b'amenity',b'place_of_worship',b'regular'
b'358621260',b'ele',b'140',b'regular'
b'358621260',b'county_id',b'111',b'gnis'
b'358621260',b'created',b'06/26/2008',b'gnis'
b'358621260',b'feature_id',b'2460037',b'gnis'
b'358621260',b'state_id',b'21',b'gnis'
b'358621260',b'name',b'New Beginnings Assembly of God Church',b'regular'
b'358621260',b'religion',b'christian',b'regular'
b'1271600863',b'railway',b'railway_crossing',b'regular'
b'2047364971',b'entrance',b'yes',b'regular'
b'2047364971',b'source',b'bing',b'regular'
b'2047364985',b'entrance',b'yes',b'regular'
b'2047364985',b'source',b'bing',b'regular'
b'2047364990',b'entrance',b'yes',b'regular'
b'2047364990',b'source',b'bing',b'regular'
b'2047365004',b'entrance',b'yes',b'regular'
b'2047365004',b'source',b'bing',b'regular'
b'2047365049',b'entrance',b'yes',b'regular'
b'2047365049',b'source',b'bing',b'regular'
b'2047365055',b'entrance',b'yes',b'regular'
b'2047365055',b'source',b'bing',b'regular'
b'2089460599',b'railway',b'level_crossing',b'regular'
b'2089460612',b'railway',b'level_crossing',b'regular'
b'2089473654',b'railway',b'level_crossing',b'regular'
b'2089473655',b'railway',b'level_crossing',b'regular'
b'2089473656',b'railway',b'level_crossing',b'regular'
b'2089473658',b'railway',b'level_crossing',b'regular'
b'2089473659',b'railway',b'level_crossing',b'regular'
b'2089473663',b'railway',b'level_crossing',b'regular'
b'2089473664',b'railway',b'level_crossing',b'regular'
b'2089473667',b'railway',b'level_crossing',b'regular'
b'2758951018',b'highway',b'crossing',b'regular'
b'2758951020',b'highway',b'crossing',b'regular'
b'2758951023',b'highway',b'crossing',b'regular'
b'2758951025',b'highway',b'crossing',b'regular'
b'2758951033',b'highway',b'crossing',b'regular'
b'2758951035',b'highway',b'crossing',b'regular'
b'2795239416',b'highway',b'crossing',b'regular'
b'2822956926',b'highway',b'crossing',b'regular'
b'2830267202',b'highway',b'crossing',b'regular'
b'2830267205',b'highway',b'crossing',b'regular'
b'2830267207',b'highway',b'crossing',b'regular'
b'2830267209',b'highway',b'crossing',b'regular'
b'2830267211',b'highway',b'crossing',b'regular'
b'2830267214',b'highway',b'crossing',b'regular'
b'2830267218',b'highway',b'crossing',b'regular'
b'3141280919',b'highway',b'traffic_signals',b'regular'
b'3236404838',b'highway',b'traffic_signals',b'regular'
b'3236404850',b'highway',b'traffic_signals',b'regular'
b'3236404851',b'highway',b'traffic_signals',b'regular'
b'3236404852',b'highway',b'traffic_signals',b'regular'
b'3236404853',b'highway',b'traffic_signals',b'regular'
b'3236404854',b'highway',b'traffic_signals',b'regular'
b'3236404855',b'highway',b'traffic_signals',b'regular'
b'3236404859',b'highway',b'traffic_signals',b'regular'
b'3236404860',b'highway',b'traffic_signals',b'regular'
b'3363734025',b'city',b'Louisville',b'addr'
b'3363734025',b'housenumber',b'1006',b'addr'
b'3363734025',b'postcode',b'40203',b'addr'
b'3363734025',b'state',b'KY',b'addr'
b'3363734025',b'street',b'South Clay Street',b'addr'
b'3363734025',b'unit',b'4',b'addr'
b'3363734026',b'city',b'Louisville',b'addr'
b'3363734026',b'housenumber',b'1006',b'addr'
b'3363734026',b'postcode',b'40203',b'addr'
b'3363734026',b'state',b'KY',b'addr'
b'3363734026',b'street',b'South Clay Street',b'addr'
b'3363734026',b'unit',b'3',b'addr'
b'3363734027',b'city',b'Louisville',b'addr'
b'3363734027',b'housenumber',b'1006',b'addr'
b'3363734027',b'postcode',b'40203',b'addr'
b'3363734027',b'state',b'KY',b'addr'
b'3363734027',b'street',b'South Clay Street',b'addr'
b'3363734027',b'unit',b'2',b'addr'
b'3363734028',b'city',b'Louisville',b'addr'
b'3363734028',b'housenumber',b'1006',b'addr'
b'3363734028',b'postcode',b'40203',b'addr'
b'3363734028',b'state',b'KY',b'addr'
b'3363734028',b'street',b'South Clay Street',b'addr'
b'3363734028',b'unit',b'1',b'addr'
b'3363734029',b'city',b'Louisville',b'addr'
b'3363734029',b'housenumber',b'1006',b'addr'
b'3363734029',b'postcode',b'40203',b'addr'
b'3363734029',b'state',b'KY',b'addr'
b'3363734029',b'street',b'South Shelby Street',b'addr'
b'3363734029',b'unit',b'2',b'addr'
b'3363734030',b'city',b'Louisville',b'addr'
b'3363734030',b'housenumber',b'1006',b'addr'
b'3363734030',b'postcode',b'40203',b'addr'
b'3363734030',b'state',b'KY',b'addr'
b'3363734030',b'street',b'South Shelby Street',b'addr'
b'3363734030',b'unit',b'1',b'addr'
b'3363734032',b'city',b'Louisville',b'addr'
b'3363734032',b'housenumber',b'1007',b'addr'
b'3363734032',b'postcode',b'40203',b'addr'
b'3363734032',b'state',b'KY',b'addr'
b'3363734032',b'street',b'St Paul Court',b'addr'
b'3363734032',b'unit',b'4',b'addr'
b'3363734033',b'city',b'Louisville',b'addr'
b'3363734033',b'housenumber',b'1007',b'addr'
b'3363734033',b'postcode',b'40203',b'addr'
b'3363734033',b'state',b'KY',b'addr'
b'3363734033',b'street',b'St Paul Court',b'addr'
b'3363734033',b'unit',b'3',b'addr'
b'3363734034',b'city',b'Louisville',b'addr'
b'3363734034',b'housenumber',b'1007',b'addr'
b'3363734034',b'postcode',b'40203',b'addr'
b'3363734034',b'state',b'KY',b'addr'
b'3363734034',b'street',b'St Paul Court',b'addr'
b'3363734034',b'unit',b'2',b'addr'
b'3363734035',b'city',b'Louisville',b'addr'
b'3363734035',b'housenumber',b'1007',b'addr'
b'3363734035',b'postcode',b'40203',b'addr'
b'3363734035',b'state',b'KY',b'addr'
b'3363734035',b'street',b'St Paul Court',b'addr'
b'3363734035',b'unit',b'1',b'addr'
b'3363734036',b'city',b'Louisville',b'addr'
b'3363734036',b'housenumber',b'1008',b'addr'
b'3363734036',b'postcode',b'40203',b'addr'
b'3363734036',b'state',b'KY',b'addr'
b'3363734036',b'street',b'South Clay Street',b'addr'
b'3363734036',b'unit',b'4',b'addr'
b'3363734037',b'city',b'Louisville',b'addr'
b'3363734037',b'housenumber',b'1008',b'addr'
b'3363734037',b'postcode',b'40203',b'addr'
b'3363734037',b'state',b'KY',b'addr'
b'3363734037',b'street',b'South Clay Street',b'addr'
b'3363734037',b'unit',b'3',b'addr'
b'3363734038',b'city',b'Louisville',b'addr'
b'3363734038',b'housenumber',b'1008',b'addr'
b'3363734038',b'postcode',b'40203',b'addr'
b'3363734038',b'state',b'KY',b'addr'
b'3363734038',b'street',b'South Clay Street',b'addr'
b'3363734038',b'unit',b'2',b'addr'
b'3363734039',b'city',b'Louisville',b'addr'
b'3363734039',b'housenumber',b'1008',b'addr'
b'3363734039',b'postcode',b'40203',b'addr'
b'3363734039',b'state',b'KY',b'addr'
b'3363734039',b'street',b'South Clay Street',b'addr'
b'3363734039',b'unit',b'1',b'addr'
b'3363734040',b'city',b'Louisville',b'addr'
b'3363734040',b'housenumber',b'1008',b'addr'
b'3363734040',b'postcode',b'40203',b'addr'
b'3363734040',b'state',b'KY',b'addr'
b'3363734040',b'street',b'St Paul Court',b'addr'
b'3363734040',b'unit',b'4',b'addr'
b'3363734041',b'city',b'Louisville',b'addr'
b'3363734041',b'housenumber',b'1008',b'addr'
b'3363734041',b'postcode',b'40203',b'addr'
b'3363734041',b'state',b'KY',b'addr'
b'3363734041',b'street',b'St Paul Court',b'addr'
b'3363734041',b'unit',b'3',b'addr'
b'3363734042',b'city',b'Louisville',b'addr'
b'3363734042',b'housenumber',b'1008',b'addr'
b'3363734042',b'postcode',b'40203',b'addr'
b'3363734042',b'state',b'KY',b'addr'
b'3363734042',b'street',b'St Paul Court',b'addr'
b'3363734042',b'unit',b'2',b'addr'
b'3363734043',b'city',b'Louisville',b'addr'
b'3363734043',b'housenumber',b'1008',b'addr'
b'3363734043',b'postcode',b'40203',b'addr'
b'3363734043',b'state',b'KY',b'addr'
b'3363734043',b'street',b'St Paul Court',b'addr'
b'3363734043',b'unit',b'1',b'addr'
b'3363734044',b'city',b'Louisville',b'addr'
b'3363734044',b'housenumber',b'1009',b'addr'
b'3363734044',b'postcode',b'40203',b'addr'
b'3363734044',b'state',b'KY',b'addr'
b'3363734044',b'street',b'St Paul Court',b'addr'
b'3363734044',b'unit',b'4',b'addr'
b'3363734045',b'city',b'Louisville',b'addr'
b'3363734045',b'housenumber',b'1009',b'addr'
b'3363734045',b'postcode',b'40203',b'addr'
b'3363734045',b'state',b'KY',b'addr'
b'3363734045',b'street',b'St Paul Court',b'addr'
b'3363734045',b'unit',b'3',b'addr'
b'3363734046',b'city',b'Louisville',b'addr'
b'3363734046',b'housenumber',b'1009',b'addr'
b'3363734046',b'postcode',b'40203',b'addr'
b'3363734046',b'state',b'KY',b'addr'
b'3363734046',b'street',b'St Paul Court',b'addr'
b'3363734046',b'unit',b'2',b'addr'
b'3363734047',b'city',b'Louisville',b'addr'
b'3363734047',b'housenumber',b'1009',b'addr'
b'3363734047',b'postcode',b'40203',b'addr'
b'3363734047',b'state',b'KY',b'addr'
b'3363734047',b'street',b'St Paul Court',b'addr'
b'3363734047',b'unit',b'1',b'addr'
b'3363734048',b'city',b'Louisville',b'addr'
b'3363734048',b'housenumber',b'1010',b'addr'
b'3363734048',b'postcode',b'40203',b'addr'
b'3363734048',b'state',b'KY',b'addr'
b'3363734048',b'street',b'South Clay Street',b'addr'
b'3363734048',b'unit',b'4',b'addr'
b'3363734049',b'city',b'Louisville',b'addr'
b'3363734049',b'housenumber',b'1010',b'addr'
b'3363734049',b'postcode',b'40203',b'addr'
b'3363734049',b'state',b'KY',b'addr'
b'3363734049',b'street',b'South Clay Street',b'addr'
b'3363734049',b'unit',b'3',b'addr'
b'3363734050',b'city',b'Louisville',b'addr'
b'3363734050',b'housenumber',b'1010',b'addr'
b'3363734050',b'postcode',b'40203',b'addr'
b'3363734050',b'state',b'KY',b'addr'
b'3363734050',b'street',b'South Clay Street',b'addr'
b'3363734050',b'unit',b'2',b'addr'
b'3363734051',b'city',b'Louisville',b'addr'
b'3363734051',b'housenumber',b'1010',b'addr'
b'3363734051',b'postcode',b'40203',b'addr'
b'3363734051',b'state',b'KY',b'addr'
b'3363734051',b'street',b'South Clay Street',b'addr'
b'3363734051',b'unit',b'1',b'addr'
b'3363734052',b'city',b'Louisville',b'addr'
b'3363734052',b'housenumber',b'1010',b'addr'
b'3363734052',b'postcode',b'40203',b'addr'
b'3363734052',b'state',b'KY',b'addr'
b'3363734052',b'street',b'St Paul Court',b'addr'
b'3363734052',b'unit',b'4',b'addr'
b'3363734053',b'city',b'Louisville',b'addr'
b'3363734053',b'housenumber',b'1010',b'addr'
b'3363734053',b'postcode',b'40203',b'addr'
b'3363734053',b'state',b'KY',b'addr'
b'3363734053',b'street',b'St Paul Court',b'addr'
b'3363734053',b'unit',b'3',b'addr'
b'3363734054',b'city',b'Louisville',b'addr'
b'3363734054',b'housenumber',b'1010',b'addr'
b'3363734054',b'postcode',b'40203',b'addr'
b'3363734054',b'state',b'KY',b'addr'
b'3363734054',b'street',b'St Paul Court',b'addr'
b'3363734054',b'unit',b'2',b'addr'
b'3363734055',b'city',b'Louisville',b'addr'
b'3363734055',b'housenumber',b'1010',b'addr'
b'3363734055',b'postcode',b'40203',b'addr'
b'3363734055',b'state',b'KY',b'addr'
b'3363734055',b'street',b'St Paul Court',b'addr'
b'3363734055',b'unit',b'1',b'addr'
b'3363734056',b'city',b'Louisville',b'addr'
b'3363734056',b'housenumber',b'1011',b'addr'
b'3363734056',b'postcode',b'40203',b'addr'
b'3363734056',b'state',b'KY',b'addr'
b'3363734056',b'street',b'St Paul Court',b'addr'
b'3363734056',b'unit',b'4',b'addr'
b'3363734057',b'city',b'Louisville',b'addr'
b'3363734057',b'housenumber',b'1011',b'addr'
b'3363734057',b'postcode',b'40203',b'addr'
b'3363734057',b'state',b'KY',b'addr'
b'3363734057',b'street',b'St Paul Court',b'addr'
b'3363734057',b'unit',b'3',b'addr'
b'3363734058',b'city',b'Louisville',b'addr'
b'3363734058',b'housenumber',b'1011',b'addr'
b'3363734058',b'postcode',b'40203',b'addr'
b'3363734058',b'state',b'KY',b'addr'
b'3363734058',b'street',b'St Paul Court',b'addr'
b'3363734058',b'unit',b'2',b'addr'
b'3363734059',b'city',b'Louisville',b'addr'
b'3363734059',b'housenumber',b'1011',b'addr'
b'3363734059',b'postcode',b'40203',b'addr'
b'3363734059',b'state',b'KY',b'addr'
b'3363734059',b'street',b'St Paul Court',b'addr'
b'3363734059',b'unit',b'1',b'addr'
b'3363734060',b'city',b'Louisville',b'addr'
b'3363734060',b'housenumber',b'1012',b'addr'
b'3363734060',b'postcode',b'40203',b'addr'
b'3363734060',b'state',b'KY',b'addr'
b'3363734060',b'street',b'South Clay Street',b'addr'
b'3363734060',b'unit',b'4',b'addr'
b'3363734061',b'city',b'Louisville',b'addr'
b'3363734061',b'housenumber',b'1012',b'addr'
b'3363734061',b'postcode',b'40203',b'addr'
b'3363734061',b'state',b'KY',b'addr'
b'3363734061',b'street',b'South Clay Street',b'addr'
b'3363734061',b'unit',b'3',b'addr'
b'3363734062',b'city',b'Louisville',b'addr'
b'3363734062',b'housenumber',b'1012',b'addr'
b'3363734062',b'postcode',b'40203',b'addr'
b'3363734062',b'state',b'KY',b'addr'
b'3363734062',b'street',b'South Clay Street',b'addr'
b'3363734062',b'unit',b'2',b'addr'
b'3363734063',b'city',b'Louisville',b'addr'
b'3363734063',b'housenumber',b'1012',b'addr'
b'3363734063',b'postcode',b'40203',b'addr'
b'3363734063',b'state',b'KY',b'addr'
b'3363734063',b'street',b'South Clay Street',b'addr'
b'3363734063',b'unit',b'1',b'addr'
b'3363734064',b'city',b'Louisville',b'addr'
b'3363734064',b'housenumber',b'1012',b'addr'
b'3363734064',b'postcode',b'40203',b'addr'
b'3363734064',b'state',b'KY',b'addr'
b'3363734064',b'street',b'St Paul Court',b'addr'
b'3363734064',b'unit',b'4',b'addr'
b'3363734065',b'city',b'Louisville',b'addr'
b'3363734065',b'housenumber',b'1012',b'addr'
b'3363734065',b'postcode',b'40203',b'addr'
b'3363734065',b'state',b'KY',b'addr'
b'3363734065',b'street',b'St Paul Court',b'addr'
b'3363734065',b'unit',b'3',b'addr'
b'3363734066',b'city',b'Louisville',b'addr'
b'3363734066',b'housenumber',b'1012',b'addr'
b'3363734066',b'postcode',b'40203',b'addr'
b'3363734066',b'state',b'KY',b'addr'
b'3363734066',b'street',b'St Paul Court',b'addr'
b'3363734066',b'unit',b'2',b'addr'
b'3363734067',b'city',b'Louisville',b'addr'
b'3363734067',b'housenumber',b'1012',b'addr'
b'3363734067',b'postcode',b'40203',b'addr'
b'3363734067',b'state',b'KY',b'addr'
b'3363734067',b'street',b'St Paul Court',b'addr'
b'3363734067',b'unit',b'1',b'addr'
b'3363734068',b'city',b'Louisville',b'addr'
b'3363734068',b'housenumber',b'1013',b'addr'
b'3363734068',b'postcode',b'40203',b'addr'
b'3363734068',b'state',b'KY',b'addr'
b'3363734068',b'street',b'St Paul Court',b'addr'
b'3363734068',b'unit',b'4',b'addr'
b'3363734069',b'city',b'Louisville',b'addr'
b'3363734069',b'housenumber',b'1013',b'addr'
b'3363734069',b'postcode',b'40203',b'addr'
b'3363734069',b'state',b'KY',b'addr'
b'3363734069',b'street',b'St Paul Court',b'addr'
b'3363734069',b'unit',b'3',b'addr'
b'3363734070',b'city',b'Louisville',b'addr'
b'3363734070',b'housenumber',b'1013',b'addr'
b'3363734070',b'postcode',b'40203',b'addr'
b'3363734070',b'state',b'KY',b'addr'
b'3363734070',b'street',b'St Paul Court',b'addr'
b'3363734070',b'unit',b'2',b'addr'
b'3363734071',b'city',b'Louisville',b'addr'
b'3363734071',b'housenumber',b'1013',b'addr'
b'3363734071',b'postcode',b'40203',b'addr'
b'3363734071',b'state',b'KY',b'addr'
b'3363734071',b'street',b'St Paul Court',b'addr'
b'3363734071',b'unit',b'1',b'addr'
b'3363734072',b'city',b'Louisville',b'addr'
b'3363734072',b'housenumber',b'1014',b'addr'
b'3363734072',b'postcode',b'40203',b'addr'
b'3363734072',b'state',b'KY',b'addr'
b'3363734072',b'street',b'South Clay Street',b'addr'
b'3363734072',b'unit',b'4',b'addr'
b'3363734073',b'city',b'Louisville',b'addr'
b'3363734073',b'housenumber',b'1014',b'addr'
b'3363734073',b'postcode',b'40203',b'addr'
b'3363734073',b'state',b'KY',b'addr'
b'3363734073',b'street',b'South Clay Street',b'addr'
b'3363734073',b'unit',b'3',b'addr'
b'3363734074',b'city',b'Louisville',b'addr'
b'3363734074',b'housenumber',b'1014',b'addr'
b'3363734074',b'postcode',b'40203',b'addr'
b'3363734074',b'state',b'KY',b'addr'
b'3363734074',b'street',b'South Clay Street',b'addr'
b'3363734074',b'unit',b'2',b'addr'
b'3363734075',b'city',b'Louisville',b'addr'
b'3363734075',b'housenumber',b'1014',b'addr'
b'3363734075',b'postcode',b'40203',b'addr'
b'3363734075',b'state',b'KY',b'addr'
b'3363734075',b'street',b'South Clay Street',b'addr'
b'3363734075',b'unit',b'1',b'addr'
b'3363734076',b'city',b'Louisville',b'addr'
b'3363734076',b'housenumber',b'1014',b'addr'
b'3363734076',b'postcode',b'40203',b'addr'
b'3363734076',b'state',b'KY',b'addr'
b'3363734076',b'street',b'St Paul Court',b'addr'
b'3363734076',b'unit',b'4',b'addr'
b'3363734077',b'city',b'Louisville',b'addr'
b'3363734077',b'housenumber',b'1014',b'addr'
b'3363734077',b'postcode',b'40203',b'addr'
b'3363734077',b'state',b'KY',b'addr'
b'3363734077',b'street',b'St Paul Court',b'addr'
b'3363734077',b'unit',b'3',b'addr'
b'3363734078',b'city',b'Louisville',b'addr'
b'3363734078',b'housenumber',b'1014',b'addr'
b'3363734078',b'postcode',b'40203',b'addr'
b'3363734078',b'state',b'KY',b'addr'
b'3363734078',b'street',b'St Paul Court',b'addr'
b'3363734078',b'unit',b'2',b'addr'
b'3363734079',b'city',b'Louisville',b'addr'
b'3363734079',b'housenumber',b'1014',b'addr'
b'3363734079',b'postcode',b'40203',b'addr'
b'3363734079',b'state',b'KY',b'addr'
b'3363734079',b'street',b'St Paul Court',b'addr'
b'3363734079',b'unit',b'1',b'addr'
b'3363734080',b'city',b'Louisville',b'addr'
b'3363734080',b'housenumber',b'1015',b'addr'
b'3363734080',b'postcode',b'40203',b'addr'
b'3363734080',b'state',b'KY',b'addr'
b'3363734080',b'street',b'St Paul Court',b'addr'
b'3363734080',b'unit',b'4',b'addr'
b'3363734081',b'city',b'Louisville',b'addr'
b'3363734081',b'housenumber',b'1015',b'addr'
b'3363734081',b'postcode',b'40203',b'addr'
b'3363734081',b'state',b'KY',b'addr'
b'3363734081',b'street',b'St Paul Court',b'addr'
b'3363734081',b'unit',b'3',b'addr'
b'3363734082',b'city',b'Louisville',b'addr'
b'3363734082',b'housenumber',b'1015',b'addr'
b'3363734082',b'postcode',b'40203',b'addr'
b'3363734082',b'state',b'KY',b'addr'
b'3363734082',b'street',b'St Paul Court',b'addr'
b'3363734082',b'unit',b'2',b'addr'
b'3363734083',b'city',b'Louisville',b'addr'
b'3363734083',b'housenumber',b'1015',b'addr'
b'3363734083',b'postcode',b'40203',b'addr'
b'3363734083',b'state',b'KY',b'addr'
b'3363734083',b'street',b'St Paul Court',b'addr'
b'3363734083',b'unit',b'1',b'addr'
b'3363734084',b'city',b'Louisville',b'addr'
b'3363734084',b'housenumber',b'1016',b'addr'
b'3363734084',b'postcode',b'40203',b'addr'
